名称,名称,关系
史蒂文·斯皮尔伯格,保罗·吉亚玛提,合作
史蒂文·斯皮尔伯格,丹尼斯·法里纳,合作
史蒂文·斯皮尔伯格,马克斯·马蒂尼,合作
史蒂文·斯皮尔伯格,丹兰·布鲁诺,合作
史蒂文·斯皮尔伯格,丹尼尔·切尔奎拉,合作
史蒂文·斯皮尔伯格,迪米特里·格里特萨斯,合作
史蒂文·斯皮尔伯格,史蒂夫·格里芬,合作
史蒂文·斯皮尔伯格,彼得·迈尔斯,合作
史蒂文·斯皮尔伯格,亚当·肖,合作
史蒂文·斯皮尔伯格,罗尔夫·萨克森,合作
史蒂文·斯皮尔伯格,克里·约翰逊,合作
史蒂文·斯皮尔伯格,洛克兰·艾肯,合作
史蒂文·斯皮尔伯格,尚恩·约翰逊,合作
史蒂文·斯皮尔伯格,莱尔德·曼辛托斯,合作
史蒂文·斯皮尔伯格,安德鲁·斯科特,合作
史蒂文·斯皮尔伯格,马修·夏普,合作
史蒂文·斯皮尔伯格,文森特·沃尔什,合作
史蒂文·斯皮尔伯格,约翰·沙拉恩,合作
史蒂文·斯皮尔伯格,马丁·哈伯,合作
史蒂文·斯皮尔伯格,罗非洛·迪格托勒,合作
史蒂文·斯皮尔伯格,恩里奇·雷德曼,合作
史蒂文·斯皮尔伯格,米歇尔·埃文斯,合作
史蒂文·斯皮尔伯格,内森·菲利安,合作
史蒂文·斯皮尔伯格,利兰·奥瑟,合作
史蒂文·斯皮尔伯格,大卫·维格,合作
史蒂文·斯皮尔伯格,瑞恩·赫斯特,合作
史蒂文·斯皮尔伯格,哈威·普雷斯内尔,合作
史蒂文·斯皮尔伯格,代尔·戴,合作
史蒂文·斯皮尔伯格,布莱恩·科兰斯顿,合作
史蒂文·斯皮尔伯格,大卫·沃尔,合作
史蒂文·斯皮尔伯格,埃里克·罗兰,合作
史蒂文·斯皮尔伯格,哈里逊·杨,合作
史蒂文·斯皮尔伯格,凯思琳·拜荣,合作
史蒂文·斯皮尔伯格,约翰·德·兰西,合作
史蒂文·斯皮尔伯格,詹姆斯·恩布里,合作
史蒂文·斯皮尔伯格,德里克·李,合作
史蒂文·斯皮尔伯格,若昂·科斯塔·梅内塞斯,合作
史蒂文·斯皮尔伯格,马克·施泰因迈尔,合作
史蒂文·斯皮尔伯格,幸福终点站,导演
史蒂文·斯皮尔伯格,汤姆·汉克斯,合作
史蒂文·斯皮尔伯格,凯瑟琳·泽塔-琼斯,合作
史蒂文·斯皮尔伯格,斯坦利·图齐,合作
史蒂文·斯皮尔伯格,齐·麦克布赖德,合作
史蒂文·斯皮尔伯格,迭戈·卢纳,合作
史蒂文·斯皮尔伯格,巴里·沙巴卡·亨利,合作
史蒂文·斯皮尔伯格,库玛·帕拉纳,合作
史蒂文·斯皮尔伯格,佐伊·索尔达娜,合作
史蒂文·斯皮尔伯格,埃迪·琼斯,合作
史蒂文·斯皮尔伯格,祖德·塞克利拉,合作
史蒂文·斯皮尔伯格,科瑞·雷诺兹,合作
史蒂文·斯皮尔伯格,古列雷莫·迪亚兹,合作
史蒂文·斯皮尔伯格,里尼·贝尔,合作
史蒂文·斯皮尔伯格,瓦列里·尼古拉耶夫,合作
史蒂文·斯皮尔伯格,迈克尔·诺里,合作
史蒂文·斯皮尔伯格,鲍勃·莫里西,合作
史蒂文·斯皮尔伯格,萨沙·斯皮尔伯格,合作
史蒂文·斯皮尔伯格,苏珊·索洛米,合作
史蒂文·斯皮尔伯格,卡尔利斯·布克,合作
史蒂文·斯皮尔伯格,斯蒂芬·富勒,合作
史蒂文·斯皮尔伯格,丹·芬纳蒂,合作
史蒂文·斯皮尔伯格,LydiaBlanco,合作
史蒂文·斯皮尔伯格,肯尼斯·崔,合作
史蒂文·斯皮尔伯格,卡斯·安瓦尔,合作
史蒂文·斯皮尔伯格,康拉德·皮拉,合作
史蒂文·斯皮尔伯格,杜桑恩·杜基齐,合作
史蒂文·斯皮尔伯格,马克·伊瓦涅,合作
史蒂文·斯皮尔伯格,BennyGolson,合作
史蒂文·斯皮尔伯格,斯科特·安第斯,合作
史蒂文·斯皮尔伯格,罗伯特·科瓦吕比亚,合作
史蒂文·斯皮尔伯格,DilvaHenry,合作
史蒂文·斯皮尔伯格,卡尔艾拉切,合作
史蒂文·斯皮尔伯格,哈亚提·阿克巴斯,合作
史蒂文·斯皮尔伯格,艾力克斯·伯恩斯,合作
史蒂文·斯皮尔伯格,埃莱娜·卡多纳,合作
史蒂文·斯皮尔伯格,DanChase,合作
史蒂文·斯皮尔伯格,查得·R·戴维斯,合作
史蒂文·斯皮尔伯格,AntonellaElia,合作
史蒂文·斯皮尔伯格,MichaelEliopoulos,合作
史蒂文·斯皮尔伯格,MarstonFobbs,合作
史蒂文·斯皮尔伯格,RiadGalayini,合作
史蒂文·斯皮尔伯格,杰拉德·加纳,合作
史蒂文·斯皮尔伯格,贾斯汀·罗杰斯豪尔,合作
史蒂文·斯皮尔伯格,MohammedHassan,合作
史蒂文·斯皮尔伯格,AmberHavens,合作
史蒂文·斯皮尔伯格,KseniaJarova,合作
史蒂文·斯皮尔伯格,巴里·朱利安,合作
史蒂文·斯皮尔伯格,SvilenaKidess,合作
史蒂文·斯皮尔伯格,ZuzanaMonroe,合作
史蒂文·斯皮尔伯格,艾丽西亚·奥奇瑟,合作
史蒂文·斯皮尔伯格,本杰明·奥切恩格,合作
史蒂文·斯皮尔伯格,头号玩家,导演
史蒂文·斯皮尔伯格,泰伊·谢里丹,合作
史蒂文·斯皮尔伯格,奥利维亚·库克,合作
史蒂文·斯皮尔伯格,本·门德尔森,合作
史蒂文·斯皮尔伯格,马克·里朗斯,合作
史蒂文·斯皮尔伯格,丽娜·维特,合作
史蒂文·斯皮尔伯格,森崎温,合作
史蒂文·斯皮尔伯格,赵家正,合作
史蒂文·斯皮尔伯格,西蒙·佩吉,合作
史蒂文·斯皮尔伯格,T·J·米勒,合作
史蒂文·斯皮尔伯格,汉娜·乔恩-卡门,合作
史蒂文·斯皮尔伯格,拉尔夫·伊内森,合作
史蒂文·斯皮尔伯格,苏珊·林奇,合作
史蒂文·斯皮尔伯格,克莱尔·希金斯,合作
史蒂文·斯皮尔伯格,劳伦斯·斯佩尔曼,合作
史蒂文·斯皮尔伯格,佩蒂塔·维克斯,合作
史蒂文·斯皮尔伯格,艾萨克·安德鲁斯,合作
史蒂文·斯皮尔伯格,人工智能,导演
史蒂文·斯皮尔伯格,海利·乔·奥斯蒙,合作
史蒂文·斯皮尔伯格,弗兰西丝·奥康纳,合作
史蒂文·斯皮尔伯格,山姆·洛巴兹,合作
史蒂文·斯皮尔伯格,杰克·托马斯,合作
史蒂文·斯皮尔伯格,裘德·洛,合作
史蒂文·斯皮尔伯格,威廉·赫特,合作
史蒂文·斯皮尔伯格,肯·梁,合作
史蒂文·斯皮尔伯格,克拉克·格雷格,合作
史蒂文·斯皮尔伯格,凯文·苏斯曼,合作
史蒂文·斯皮尔伯格,汤姆·加洛普,合作
史蒂文·斯皮尔伯格,尤金·奥斯门特,合作
史蒂文·斯皮尔伯格,艾普尔·格雷斯,合作
史蒂文·斯皮尔伯格,马特·温斯顿,合作
史蒂文·斯皮尔伯格,萨布丽娜·格德维奇,合作
史蒂文·斯皮尔伯格,西奥·格林利,合作
道格·里曼,谍影重重,导演
道格·里曼,马特·达蒙,合作
道格·里曼,弗朗卡·波滕特,合作
道格·里曼,克里斯·库珀,合作
道格·里曼,克莱夫·欧文,合作
道格·里曼,朱丽娅·斯蒂尔斯,合作
道格·里曼,布莱恩·考克斯,合作
道格·里曼,阿德沃尔·阿吉纽依-艾格拜吉,合作
道格·里曼,加布里埃尔·曼,合作
道格·里曼,沃尔顿·戈金斯,合作
道格·里曼,约什·汉密尔顿,合作
道格·里曼,奥尔索·马利亚·奎利尼,合作
托马斯·温特伯格,狩猎,导演
托马斯·温特伯格,麦斯·米科尔森,合作
托马斯·温特伯格,托玛斯·博·拉森,合作
托马斯·温特伯格,安妮卡·韦德科普,合作
托马斯·温特伯格,拉丝·弗格斯托姆,合作
托马斯·温特伯格,苏西·沃德,合作
托马斯·温特伯格,安妮·路易丝·哈辛,合作
托马斯·温特伯格,拉斯·兰特,合作
托马斯·温特伯格,亚历山德拉·拉帕波特,合作
乔纳森·戴米,沉默的羔羊,导演
乔纳森·戴米,朱迪·福斯特,合作
乔纳森·戴米,安东尼·霍普金斯,合作
乔纳森·戴米,斯科特·格伦,合作
乔纳森·戴米,安东尼·希尔德,合作
乔纳森·戴米,布鲁克·史密斯,合作
乔纳森·戴米,卡斯·莱蒙斯,合作
乔纳森·戴米,弗兰基·费森,合作
乔纳森·戴米,泰德·拉文,合作
乔纳森·戴米,崔西·沃特,合作
乔纳森·戴米,丹·巴特勒,合作
乔纳森·戴米,达拉,合作
程小东,倩女幽魂,导演
程小东,张国荣,合作
程小东,王祖贤,合作
程小东,午马,合作
程小东,刘兆铭,合作
程小东,林威,合作
程小东,薛芷伦,合作
程小东,胡大为,合作
程小东,王晶,合作
达米安·斯兹弗隆,荒蛮故事,导演
达米安·斯兹弗隆,达里奥·格兰迪内蒂,合作
达米安·斯兹弗隆,玛丽娅·玛努尔,合作
达米安·斯兹弗隆,莫妮卡·比利亚,合作
达米安·斯兹弗隆,丽塔·科尔泰塞,合作
达米安·斯兹弗隆,胡丽叶塔·泽尔贝伯格,合作
达米安·斯兹弗隆,凯撒·博尔东,合作
达米安·斯兹弗隆,莱昂纳多·斯巴拉格利亚,合作
达米安·斯兹弗隆,沃尔特·多纳多,合作
达米安·斯兹弗隆,里卡多·达林,合作
达米安·斯兹弗隆,南希·杜普拉,合作
达米安·斯兹弗隆,奥斯卡·马丁内兹,合作
达米安·斯兹弗隆,玛莉亚·奥内托,合作
达米安·斯兹弗隆,奥斯马·努涅斯,合作
达米安·斯兹弗隆,赫尔曼·德·席尔瓦,合作
达米安·斯兹弗隆,艾丽卡·里瓦斯,合作
达米安·斯兹弗隆,地亚哥·詹蒂莱,合作
达米安·斯兹弗隆,玛格丽塔·莫菲诺,合作
马克·赫尔曼,穿条纹睡衣的男孩,导演
马克·赫尔曼,阿萨·巴特菲尔德,合作
马克·赫尔曼,维拉·法米加,合作
马克·赫尔曼,卡拉·霍根,合作
马克·赫尔曼,祖萨·霍尔,合作
马克·赫尔曼,安贝尔·比蒂,合作
马克·赫尔曼,拉斯洛·阿隆,合作
马克·赫尔曼,大卫·休里斯,合作
马克·赫尔曼,理查德·约翰逊,合作
马克·赫尔曼,谢拉·汉考克,合作
马克·赫尔曼,伊凡·弗雷贝利,合作
马克·赫尔曼,贝拉·费斯彼姆,合作
马克·赫尔曼,阿提拉·埃杰德,合作
马克·赫尔曼,鲁伯特·弗兰德,合作
马克·赫尔曼,大卫·海曼,合作
马克·赫尔曼,吉姆·诺顿,合作
马克·赫尔曼,杰克·塞隆,合作
马克·赫尔曼,米哈利·绍鲍多什,合作
马克·赫尔曼,泽索特·萨法尔·科夫卡,合作
马克·赫尔曼,奥索利亚·茱莉娅·帕普,合作
万籁鸣,大闹天宫,导演
万籁鸣,邱岳峰,合作
万籁鸣,富润生,合作
万籁鸣,毕克,合作
万籁鸣,尚华,合作
万籁鸣,于鼎,合作
万籁鸣,李梓,合作
万籁鸣,刘广宁,合作
吴宇森,英雄本色,导演
吴宇森,周润发,合作
吴宇森,狄龙,合作
吴宇森,张国荣,合作
吴宇森,朱宝意,合作
吴宇森,李子雄,合作
吴宇森,田丰,合作
吴宇森,吴宇森,合作
吴宇森,曾江,合作
吴宇森,成奎安,合作
吴宇森,徐克,合作
吴宇森,陈志辉,合作
吴宇森,纵横四海,导演
吴宇森,周润发,合作
吴宇森,张国荣,合作
吴宇森,钟楚红,合作
吴宇森,朱江,合作
吴宇森,曾江,合作
吴宇森,胡枫,合作
吴宇森,唐宁,合作
吴宇森,邓一君,合作
小津安二郎,东京物语,导演
小津安二郎,笠智众,合作
小津安二郎,原节子,合作
小津安二郎,杉村春子,合作
小津安二郎,东山千荣子,合作
小津安二郎,山村聪,合作
小津安二郎,香川京子,合作
J·麦基·格鲁伯,蝴蝶效应,导演
J·麦基·格鲁伯,阿什顿·库彻,合作
J·麦基·格鲁伯,梅洛拉·沃尔特斯,合作
J·麦基·格鲁伯,艾米·斯马特,合作
J·麦基·格鲁伯,埃尔登·汉森,合作
J·麦基·格鲁伯,威廉姆·李·斯科特,合作
J·麦基·格鲁伯,约翰·帕特里克·阿梅多利,合作
J·麦基·格鲁伯,艾琳·戈洛瓦娅,合作
J·麦基·格鲁伯,凯文·G·施密特,合作
J·麦基·格鲁伯,杰西·詹姆斯,合作
J·麦基·格鲁伯,罗根·勒曼,合作
J·麦基·格鲁伯,莎拉·威多斯,合作
J·麦基·格鲁伯,杰克·凯斯,合作
J·麦基·格鲁伯,卡梅隆·布莱特,合作
J·麦基·格鲁伯,埃里克·斯托尔兹,合作
J·麦基·格鲁伯,考乐姆·吉斯·雷尼,合作
J·麦基·格鲁伯,凯文·杜兰,合作
加布里埃莱·穆奇诺,当幸福来敲门,导演
加布里埃莱·穆奇诺,威尔·史密斯,合作
加布里埃莱·穆奇诺,贾登·史密斯,合作
加布里埃莱·穆奇诺,坦迪·牛顿,合作
加布里埃莱·穆奇诺,布莱恩·豪威,合作
加布里埃莱·穆奇诺,詹姆斯·凯伦,合作
加布里埃莱·穆奇诺,丹·卡斯泰兰尼塔,合作
加布里埃莱·穆奇诺,柯特·富勒,合作
加布里埃莱·穆奇诺,塔卡尤·费舍尔,合作
加布里埃莱·穆奇诺,凯文·韦斯特,合作
加布里埃莱·穆奇诺,乔治·张,合作
加布里埃莱·穆奇诺,戴维·迈克尔·西尔弗曼,合作
加布里埃莱·穆奇诺,多米尼克·博夫,合作
加布里埃莱·穆奇诺,杰弗·卡伦,合作
加布里埃莱·穆奇诺,乔伊芙·拉文,合作
加布里埃莱·穆奇诺,斯科特·克拉斯,合作
彼特·道格特,飞屋环游记,导演
彼特·道格特,爱德华·阿斯纳,合作
彼特·道格特,克里斯托弗·普卢默,合作
彼特·道格特,乔丹·长井,合作
彼特·道格特,鲍勃·彼德森,合作
彼特·道格特,德尔罗伊·林多,合作
彼特·道格特,杰罗姆·兰福特,合作
彼特·道格特,约翰·拉岑贝格,合作
彼特·道格特,大卫·卡耶,合作
彼特·道格特,艾丽·道克特,合作
彼特·道格特,杰里米·利里,合作
彼特·道格特,米凯·麦高万,合作
彼特·道格特,丹尼·曼恩,合作
彼特·道格特,唐纳德·富利洛夫,合作
彼特·道格特,杰斯·哈梅尔,合作
彼特·道格特,乔什·库雷,合作
彼特·道格特,彼特·道格特,合作
彼特·道格特,怪兽电力公司,导演
彼特·道格特,约翰·古德曼,合作
彼特·道格特,比利·克里斯托,合作
彼特·道格特,玛丽·吉布斯,合作
彼特·道格特,史蒂夫·布西密,合作
彼特·道格特,詹姆斯·柯本,合作
彼特·道格特,詹妮弗·提莉,合作
彼特·道格特,鲍勃·彼德森,合作
彼特·道格特,约翰·拉岑贝格,合作
彼特·道格特,弗兰克·奥兹,合作
彼特·道格特,丹尼尔·吉尔森,合作
彼特·道格特,邦尼·亨特,合作
彼特·道格特,杰克·安杰尔,合作
彼特·道格特,塞缪尔·洛德·布莱克,合作
彼特·道格特,史蒂夫·萨斯坎德,合作
彼特·道格特,头脑特工队,导演
彼特·道格特,艾米·波勒,合作
彼特·道格特,菲利丝·史密斯,合作
彼特·道格特,理查德·坎德,合作
彼特·道格特,比尔·哈德尔,合作
彼特·道格特,刘易斯·布莱克,合作
彼特·道格特,敏迪·卡灵,合作
彼特·道格特,凯特林·迪亚斯,合作
彼特·道格特,戴安·琳恩,合作
彼特·道格特,凯尔·麦克拉克伦,合作
彼特·道格特,波拉·庞德斯通,合作
彼特·道格特,鲍比·莫尼汉,合作
彼特·道格特,宝拉·佩尔,合作
彼特·道格特,大卫·戈尔兹,合作
彼特·道格特,弗兰克·奥兹,合作
彼特·道格特,乔什·库雷,合作
彼特·道格特,弗利,合作
彼特·道格特,约翰·拉岑贝格,合作
彼特·道格特,卡洛斯·阿拉斯拉奇,合作
彼特·道格特,皮特·萨加尔,合作
彼特·道格特,拉什达·琼斯,合作
彼特·道格特,罗里·艾伦,合作
彼特·道格特,约翰·齐甘,合作
彼特·道格特,雪莉·琳恩,合作
彼特·道格特,拉瑞恩·纽曼,合作
彼特·道格特,帕丽斯·冯·戴克,合作
姜炯哲,阳光姐妹淘,导演
姜炯哲,沈恩京,合作
姜炯哲,闵孝琳,合作
姜炯哲,姜素拉,合作
姜炯哲,南宝拉,合作
姜炯哲,陈熙琼,合作
姜炯哲,金时厚,合作
姜炯哲,柳好贞,合作
姜炯哲,朴真珠,合作
姜炯哲,李妍京,合作
姜炯哲,金甫美,合作
姜炯哲,千禹熙,合作
姜炯哲,李璟荣,合作
李安,少年派的奇幻漂流,导演
李安,苏拉·沙玛,合作
李安,伊尔凡·可汗,合作
李安,拉菲·斯波,合作
李安,阿迪勒·侯赛因,合作
李安,塔布,合作
李安,阿尤什·坦东,合作
李安,加塔姆·贝鲁尔,合作
李安,阿彦·汗,合作
李安,穆德·阿巴斯·卡勒里,合作
李安,维比什·希瓦库玛,合作
李安,热拉尔·德帕迪约,合作
李安,詹姆斯·塞托,合作
李安,俊·奈托,合作
李安,安德里亚·迪·斯戴法诺,合作
李安,沙拉万提·塞纳特,合作
李安,王柏杰,合作
李安,柯一正,合作
李安,黄健玮,合作
李安,饮食男女,导演
李安,郎雄,合作
李安,杨贵媚,合作
李安,吴倩莲,合作
李安,王渝文,合作
李安,张艾嘉,合作
李安,归亚蕾,合作
李安,赵文瑄,合作
李安,陈昭荣,合作
李安,陈捷文,合作
李安,卢金城,合作
李安,唐语谦,合作
李安,洪其德,合作
李安,王瑞,合作
李安,杜满生,合作
李安,王玨,合作
李安,陈妤,合作
李安,左正芬,合作
李安,许敬民,合作
李安,聂卓晶,合作
李安,丁仲,合作
李安,断背山,导演
李安,希斯·莱杰,合作
李安,杰克·吉伦哈尔,合作
李安,米歇尔·威廉姆斯,合作
李安,安妮·海瑟薇,合作
李安,凯特·玛拉,合作
李安,兰迪·奎德,合作
李安,琳达·卡德里尼,合作
李安,安娜·法瑞丝,合作
李安,格拉汉姆·贝克尔,合作
李安,斯科特·迈克尔·坎贝尔,合作
李安,大卫·哈伯,合作
李安,罗伯塔·马克斯韦尔,合作
李安,皮特·麦克罗比,合作
李安,夏恩·希尔,合作
李安,布鲁克琳·普劳克斯,合作
李安,杰克·丘奇,合作
李安,喜宴,导演
李安,赵文瑄,合作
李安,郎雄,合作
李安,归亚蕾,合作
李安,金素梅,合作
李安,米切尔·利希藤斯坦,合作
李安,色，戒,导演
李安,梁朝伟,合作
李安,汤唯,合作
李安,陈冲,合作
李安,王力宏,合作
李安,庹宗华,合作
李安,朱芷莹,合作
李安,高英轩,合作
李安,柯宇纶,合作
李安,阮德锵,合作
李安,钱嘉乐,合作
李安,苏岩,合作
李安,何赛飞,合作
李安,宋茹惠,合作
李安,樊光耀,合作
李安,卢燕,合作
李安,刘洁,合作
李安,余娅,合作
李安,王琳,合作
李安,王侃,合作
李安,竹下明子,合作
李安,阿努潘·凯尔,合作
刘镇伟,大话西游之大圣娶亲,导演
刘镇伟,周星驰,合作
刘镇伟,吴孟达,合作
刘镇伟,朱茵,合作
刘镇伟,蔡少芬,合作
刘镇伟,蓝洁瑛,合作
刘镇伟,莫文蔚,合作
刘镇伟,罗家英,合作
刘镇伟,刘镇伟,合作
刘镇伟,陆树铭,合作
刘镇伟,李健仁,合作
刘镇伟,大话西游之月光宝盒,导演
刘镇伟,周星驰,合作
刘镇伟,吴孟达,合作
刘镇伟,罗家英,合作
刘镇伟,蓝洁瑛,合作
刘镇伟,莫文蔚,合作
刘镇伟,江约诚,合作
刘镇伟,陆树铭,合作
刘镇伟,刘镇伟,合作
刘镇伟,朱茵,合作
刘镇伟,李健仁,合作
刘镇伟,射雕英雄传之东成西就,导演
刘镇伟,梁朝伟,合作
刘镇伟,林青霞,合作
刘镇伟,张国荣,合作
刘镇伟,叶玉卿,合作
刘镇伟,张学友,合作
刘镇伟,王祖贤,合作
刘镇伟,张曼玉,合作
刘镇伟,梁家辉,合作
刘镇伟,刘嘉玲,合作
刘镇伟,钟镇涛,合作
刘镇伟,鲍起静,合作
姜文,鬼子来了,导演
姜文,姜文,合作
姜文,香川照之,合作
姜文,袁丁,合作
姜文,姜宏波,合作
姜文,丛志军,合作
姜文,李从喜,合作
姜文,泽田谦也,合作
姜文,李海滨,合作
姜文,蔡卫东,合作
姜文,陈述,合作
姜文,陈莲梅,合作
姜文,史建全,合作
姜文,陈强,合作
姜文,宫路佳具,合作
姜文,吴大维,合作
姜文,梶冈润一,合作
姜文,石山雄大,合作
姜文,述平,合作
姜文,姜武,合作
姜文,让子弹飞,导演
姜文,姜文,合作
姜文,葛优,合作
姜文,周润发,合作
姜文,刘嘉玲,合作
姜文,陈坤,合作
姜文,张默,合作
姜文,姜武,合作
姜文,周韵,合作
姜文,廖凡,合作
姜文,姚橹,合作
姜文,邵兵,合作
姜文,苗圃,合作
姜文,冯小刚,合作
姜文,胡军,合作
姜文,马珂,合作
姜文,白冰,合作
姜文,杜奕衡,合作
姜文,李静,合作
姜文,胡明,合作
姜文,危笑,合作
姜文,杨奇雨,合作
姜文,赵铭,合作
姜文,阳光灿烂的日子,导演
姜文,夏雨,合作
姜文,宁静,合作
姜文,陶虹,合作
姜文,耿乐,合作
姜文,斯琴高娃,合作
姜文,冯小刚,合作
姜文,刘小宁,合作
姜文,姜文,合作
姜文,王学圻,合作
姜文,王朔,合作
姜文,尚楠,合作
姜文,方化,合作
姜文,代少波,合作
姜文,王海,合作
姜文,姚二嘎,合作
姜文,吴淑昆,合作
姜文,左小青,合作
姜文,韩冬,合作
姜文,孙靖,合作
姜文,刘斌,合作
姜文,张维,合作
姜文,杨彤林,合作
姜文,王海,合作
姜文,王福,合作
姜文,胡贝贝,合作
姜文,高保成,合作
姜文,吴淑琨,合作
姜文,张华,合作
姜文,二勇,合作
姜文,烈子,合作
姜文,陈伟,合作
山姆·伍德,乱世佳人,导演
山姆·伍德,费雯·丽,合作
山姆·伍德,克拉克·盖博,合作
山姆·伍德,奥利维娅·德哈维兰,合作
山姆·伍德,托马斯·米切尔,合作
山姆·伍德,芭芭拉·欧内尔,合作
山姆·伍德,伊夫林·凯耶斯,合作
山姆·伍德,安·卢瑟福德,合作
山姆·伍德,乔治·里弗斯,合作
山姆·伍德,弗莱德·克莱恩,合作
山姆·伍德,海蒂·麦克丹尼尔,合作
山姆·伍德,奥斯卡·波尔克,合作
山姆·伍德,巴特弗莱·麦昆,合作
山姆·伍德,维克托·乔里,合作
山姆·伍德,埃弗雷特·布朗,合作
山姆·伍德,霍华德·C·希克曼,合作
山姆·伍德,艾丽西亚·瑞特,合作
山姆·伍德,莱斯利·霍华德,合作
山姆·伍德,兰德·布鲁克斯,合作
山姆·伍德,卡洛尔·奈,合作
山姆·伍德,劳拉·霍普·克鲁斯,合作
山姆·伍德,埃迪·安德森,合作
山姆·伍德,哈里·达文波特,合作
山姆·伍德,利昂娜·罗伯特,合作
山姆·伍德,简·达威尔,合作
山姆·伍德,欧娜·满森,合作
山姆·伍德,保罗·赫斯特,合作
山姆·伍德,伊莎贝尔·朱尔,合作
山姆·伍德,卡米·金·肯伦,合作
山姆·伍德,艾瑞克·林登,合作
山姆·伍德,J·M·克里根,合作
山姆·伍德,沃德·邦德,合作
山姆·伍德,莉莲·肯布尔-库珀,合作
钱运达,天书奇谭,导演
钱运达,丁建华,合作
钱运达,毕克,合作
钱运达,苏秀,合作
钱运达,程晓桦,合作
钱运达,施融,合作
钱运达,于鼎,合作
钱运达,杨成纯,合作
钱运达,孙渝烽,合作
钱运达,胡庆汉,合作
钱运达,尚华,合作
钱运达,刘广宁,合作
钱运达,乔榛,合作
钱运达,严崇德,合作
钱运达,伍经纬,合作
钱运达,童自荣,合作
钱运达,程玉珠,合作
钱运达,曹雷,合作
钱运达,王建新,合作
钱运达,杨文元,合作
钱运达,富润生,合作
钱运达,刘钦,合作
钱运达,刘风,合作
钱运达,翟巍,合作
钱运达,张欣,合作
钱运达,郭易峰,合作
钱运达,王肖兵,合作
奉俊昊,杀人回忆,导演
奉俊昊,宋康昊,合作
奉俊昊,金相庆,合作
奉俊昊,金雷夏,合作
奉俊昊,宋在浩,合作
奉俊昊,边熙峰,合作
奉俊昊,高瑞熙,合作
奉俊昊,柳泰浩,合作
奉俊昊,朴努植,合作
奉俊昊,朴海日,合作
奉俊昊,全美善,合作
奉俊昊,徐永嬅,合作
奉俊昊,崔钟律,合作
奉俊昊,刘承睦,合作
奉俊昊,申贤宗,合作
奉俊昊,李在应,合作
奉俊昊,郑仁仙,合作
奉俊昊,吴龙,合作
奉俊昊,朴真宇,合作
奉俊昊,朴泰京,合作
奉俊昊,沈成宝,合作
奉俊昊,寄生虫,导演
奉俊昊,宋康昊,合作
奉俊昊,李善均,合作
奉俊昊,曹如晶,合作
奉俊昊,崔宇植,合作
奉俊昊,朴素丹,合作
奉俊昊,李姃垠,合作
奉俊昊,张慧珍,合作
奉俊昊,郑知晓,合作
奉俊昊,朴明勋,合作
奉俊昊,朴叙俊,合作
奉俊昊,朴根禄,合作
奉俊昊,郑贤俊,合作
奉俊昊,朴孝新,合作
奉俊昊,安德烈亚斯·弗龙克,合作
罗启锐,岁月神偷,导演
罗启锐,吴君如,合作
罗启锐,任达华,合作
罗启锐,钟绍图,合作
罗启锐,李治廷,合作
罗启锐,蔡颖恩,合作
罗启锐,秦沛,合作
罗启锐,夏萍,合作
罗启锐,谷德昭,合作
罗启锐,许鞍华,合作
罗启锐,张同祖,合作
罗启锐,庄域飞,合作
罗启锐,威廉希路,合作
罗启锐,李健兴,合作
罗启锐,林耀祺,合作
罗启锐,廖爱玲,合作
罗启锐,张翼东,合作
罗启锐,钱耀荣,合作
罗启锐,谭瓒强,合作
罗启锐,陈庆航,合作
罗启锐,黎祥荣,合作
高畑勋,萤火虫之墓,导演
高畑勋,辰己努,合作
高畑勋,白石绫乃,合作
高畑勋,志乃原良子,合作
高畑勋,山口朱美,合作
高畑勋,端田宏三,合作
路易·西霍尤斯,海豚湾,导演
路易·西霍尤斯,RichardO'Barry,合作
路易·西霍尤斯,路易·西霍尤斯,合作
路易·西霍尤斯,HardyJones,合作
路易·西霍尤斯,MichaelIlliff,合作
路易·西霍尤斯,JojiMorishita,合作
路易·西霍尤斯,IanCampbell,合作
路易·西霍尤斯,PaulWatson,合作
路易·西霍尤斯,DougDeMaster,合作
路易·西霍尤斯,DaveRastovich,合作
路易·西霍尤斯,CharlesHambleton,合作
路易·西霍尤斯,HayatoSakurai,合作
路易·西霍尤斯,Mandy-RaeCruikshank,合作
路易·西霍尤斯,KirkKrack,合作
路易·西霍尤斯,伊莎贝尔·卢卡斯,合作
路易·西霍尤斯,海顿·潘妮蒂尔,合作
王家卫,春光乍泄,导演
王家卫,张国荣,合作
王家卫,梁朝伟,合作
王家卫,张震,合作
王家卫,格利高里·戴顿,合作
王家卫,重庆森林,导演
王家卫,林青霞,合作
王家卫,金城武,合作
王家卫,梁朝伟,合作
王家卫,王菲,合作
王家卫,周嘉玲,合作
王家卫,花样年华,导演
王家卫,梁朝伟,合作
王家卫,张曼玉,合作
王家卫,潘迪华,合作
王家卫,萧炳林,合作
王家卫,张耀扬,合作
王家卫,孙佳君,合作
王家卫,钱似莺,合作
王家卫,顾锦华,合作
王家卫,东邪西毒,导演
王家卫,张国荣,合作
王家卫,林青霞,合作
王家卫,梁朝伟,合作
王家卫,张学友,合作
王家卫,张曼玉,合作
王家卫,刘嘉玲,合作
王家卫,梁家辉,合作
王家卫,杨采妮,合作
王家卫,邹兆龙,合作
